Name1,Name2,Gaussian,Mammen,Rademacher
CS,CD,0.01979999989271164,0.45159998536109924,0.008200000040233135
CS,CSt,0.00699999975040555,0.005799999926239252,0.00039999998989515007
CS,Eng,0.006000000052154064,0.007400000002235174,0.010199999436736107
CS,Fin,0.010599999688565731,0.20960000157356262,0.29179999232292175
CS,HC,0.005399999674409628,0.013799999840557575,0.38019999861717224
CS,Ind,0.01860000006854534,0.014800000004470348,0.21799999475479126
CS,IT,0.01640000008046627,0.005799999926239252,0.2239999920129776
CS,Mat,0.002199999988079071,0.00279999990016222,0.0007999999797903001
CS,RE,0.08079999685287476,0.0037999998312443495,0.01979999989271164
CS,Uti,0.0005999999702908099,0.005200000014156103,0.06459999829530716
CD,CSt,0.0,0.0,0.0
CD,Eng,0.0,0.0,0.0
CD,Fin,0.0,0.0,0.09939999878406525
CD,HC,0.0,0.0,0.023000000044703484
CD,Ind,0.0,0.0,0.0
CD,IT,0.0,0.0,0.09919999539852142
CD,Mat,0.0,0.0,0.0
CD,RE,0.0,0.0,0.00019999999494757503
CD,Uti,0.0,0.010400000028312206,0.0
CSt,Eng,0.03720000013709068,0.6739999651908875,0.03280000016093254
CSt,Fin,0.0,0.0,0.0
CSt,HC,0.00019999999494757503,0.0,0.05460000038146973
CSt,Ind,0.0,0.07039999961853027,0.0
CSt,IT,0.0,0.0,0.0
CSt,Mat,0.02019999921321869,0.015399999916553497,0.623199999332428
CSt,RE,0.0,0.0,0.0
CSt,Uti,0.0,0.0,0.0
Eng,Fin,0.01599999889731407,0.2078000009059906,0.7073999643325806
Eng,HC,0.015799999237060547,0.013399999588727951,0.013399999588727951
Eng,Ind,0.009999999776482582,0.04319999739527702,0.4667999744415283
Eng,IT,0.03500000014901161,0.016599999740719795,0.01599999889731407
Eng,Mat,0.0017999999690800905,0.0015999999595806003,0.0005999999702908099
Eng,RE,0.020600000396370888,0.01719999872148037,0.36579999327659607
Eng,Uti,0.03700000047683716,0.008200000040233135,0.769599974155426
Fin,HC,0.0,0.0,0.11779999732971191
Fin,Ind,0.0,0.0,0.03819999843835831
Fin,IT,0.0,0.0,0.02279999852180481
Fin,Mat,0.0,0.0,0.00039999998989515007
Fin,RE,0.0,0.0,0.02419999986886978
Fin,Uti,0.0,0.0,0.00039999998989515007
HC,Ind,0.0,0.0,0.0
HC,IT,0.0,0.0005999999702908099,0.0
HC,Mat,0.0,0.024799998849630356,0.0
HC,RE,0.0,0.0,0.001999999862164259
HC,Uti,0.0,0.0,0.01599999889731407
Ind,IT,0.07819999754428864,0.0142000000923872,0.00019999999494757503
Ind,Mat,0.012799999676644802,0.24459999799728394,0.009999999776482582
Ind,RE,0.010599999688565731,0.0031999999191612005,0.11879999935626984
Ind,Uti,0.011399999260902405,0.007400000002235174,0.15919999778270721
IT,Mat,0.007799999788403511,0.32999998331069946,0.0009999999310821295
IT,RE,0.009399999864399433,0.007799999788403511,0.032600000500679016
IT,Uti,0.00419999985024333,0.003399999812245369,0.0037999998312443495
Mat,RE,0.04439999908208847,0.5893999934196472,0.0026000000070780516
Mat,Uti,0.003000000026077032,0.020999999716877937,0.8151999711990356
RE,Uti,0.0,0.0,0.0
