PERMNO,date,TICKER,PRC
11891,2016-01-04,MGM,22.25000
11891,2016-01-05,MGM,22.75000
11891,2016-01-06,MGM,22.39000
11891,2016-01-07,MGM,20.62000
11891,2016-01-08,MGM,20.49000
11891,2016-01-11,MGM,20.83000
11891,2016-01-12,MGM,21.13000
11891,2016-01-13,MGM,20.02000
11891,2016-01-14,MGM,20.27000
11891,2016-01-15,MGM,19.86000
11891,2016-01-19,MGM,19.63000
11891,2016-01-20,MGM,19.11000
11891,2016-01-21,MGM,19.02000
11891,2016-01-22,MGM,19.34000
11891,2016-01-25,MGM,18.89000
11891,2016-01-26,MGM,19.11000
11891,2016-01-27,MGM,19.47000
11891,2016-01-28,MGM,19.28000
11891,2016-01-29,MGM,20.08000
11891,2016-02-01,MGM,20.05000
11891,2016-02-02,MGM,19.09000
11891,2016-02-03,MGM,18.55000
11891,2016-02-04,MGM,18.77000
11891,2016-02-05,MGM,17.88000
11891,2016-02-08,MGM,16.87000
11891,2016-02-09,MGM,16.56000
11891,2016-02-10,MGM,17.17000
11891,2016-02-11,MGM,16.93000
11891,2016-02-12,MGM,18.11000
11891,2016-02-16,MGM,19.15000
11891,2016-02-17,MGM,20.07000
11891,2016-02-18,MGM,18.40000
11891,2016-02-19,MGM,18.06000
11891,2016-02-22,MGM,18.76000
11891,2016-02-23,MGM,18.22000
11891,2016-02-24,MGM,18.25000
11891,2016-02-25,MGM,18.34000
11891,2016-02-26,MGM,18.87000
11891,2016-02-29,MGM,18.93000
11891,2016-03-01,MGM,19.93000
11891,2016-03-02,MGM,20.27000
11891,2016-03-03,MGM,20.33000
11891,2016-03-04,MGM,19.81000
11891,2016-03-07,MGM,19.82000
11891,2016-03-08,MGM,19.33000
11891,2016-03-09,MGM,20.05000
11891,2016-03-10,MGM,20.34000
11891,2016-03-11,MGM,20.81000
11891,2016-03-14,MGM,20.94000
11891,2016-03-15,MGM,20.67000
11891,2016-03-16,MGM,21.20000
11891,2016-03-17,MGM,20.95000
11891,2016-03-18,MGM,21.42000
11891,2016-03-21,MGM,20.97000
11891,2016-03-22,MGM,21.24000
11891,2016-03-23,MGM,20.76000
11891,2016-03-24,MGM,20.52000
11891,2016-03-28,MGM,20.45000
11891,2016-03-29,MGM,21.22000
11891,2016-03-30,MGM,21.29000
11891,2016-03-31,MGM,21.44000
11891,2016-04-01,MGM,21.92000
11891,2016-04-04,MGM,21.62000
11891,2016-04-05,MGM,21.27000
11891,2016-04-06,MGM,21.36000
11891,2016-04-07,MGM,21.67000
11891,2016-04-08,MGM,22.39000
11891,2016-04-11,MGM,22.06000
11891,2016-04-12,MGM,22.65000
11891,2016-04-13,MGM,23.10000
11891,2016-04-14,MGM,22.81000
