PERMNO,date,TICKER,PRC
12308,2020-01-02,CHTR,490.42999
12308,2020-01-03,CHTR,494.47000
12308,2020-01-06,CHTR,497.45001
12308,2020-01-07,CHTR,499.16000
12308,2020-01-08,CHTR,500.76999
12308,2020-01-09,CHTR,507.28000
12308,2020-01-10,CHTR,505.03000
12308,2020-01-13,CHTR,510.14999
12308,2020-01-14,CHTR,509.62000
12308,2020-01-15,CHTR,515.40002
12308,2020-01-16,CHTR,508.78000
12308,2020-01-17,CHTR,502.73001
12308,2020-01-21,CHTR,503.59000
12308,2020-01-22,CHTR,510.76001
12308,2020-01-23,CHTR,513.14001
12308,2020-01-24,CHTR,504.67001
12308,2020-01-27,CHTR,504.07999
12308,2020-01-28,CHTR,499.34000
12308,2020-01-29,CHTR,490.73999
12308,2020-01-30,CHTR,492.98001
12308,2020-01-31,CHTR,517.46002
12308,2020-02-03,CHTR,532.04999
12308,2020-02-04,CHTR,531.75000
12308,2020-02-05,CHTR,522.17999
12308,2020-02-06,CHTR,526.56000
12308,2020-02-07,CHTR,525.21002
12308,2020-02-10,CHTR,530.34003
12308,2020-02-11,CHTR,530.94000
12308,2020-02-12,CHTR,534.00000
12308,2020-02-13,CHTR,534.72998
12308,2020-02-14,CHTR,534.89001
12308,2020-02-18,CHTR,537.59998
12308,2020-02-19,CHTR,542.46002
12308,2020-02-20,CHTR,539.21997
12308,2020-02-21,CHTR,535.34003
12308,2020-02-24,CHTR,528.70001
12308,2020-02-25,CHTR,517.98999
12308,2020-02-26,CHTR,518.09003
12308,2020-02-27,CHTR,508.54999
12308,2020-02-28,CHTR,493.17001
12308,2020-03-02,CHTR,497.13000
12308,2020-03-03,CHTR,495.03000
12308,2020-03-04,CHTR,522.84003
12308,2020-03-05,CHTR,505.14001
12308,2020-03-06,CHTR,496.72000
12308,2020-03-09,CHTR,463.20999
12308,2020-03-10,CHTR,476.76001
12308,2020-03-11,CHTR,450.64999
12308,2020-03-12,CHTR,427.54001
12308,2020-03-13,CHTR,454.19000
12308,2020-03-16,CHTR,389.10999
12308,2020-03-17,CHTR,393.01999
12308,2020-03-18,CHTR,381.51999
12308,2020-03-19,CHTR,393.06000
12308,2020-03-20,CHTR,371.70001
12308,2020-03-23,CHTR,381.78000
12308,2020-03-24,CHTR,419.39999
12308,2020-03-25,CHTR,420.76999
12308,2020-03-26,CHTR,454.17001
12308,2020-03-27,CHTR,439.70001
12308,2020-03-30,CHTR,450.78000
12308,2020-03-31,CHTR,436.31000
12308,2020-04-01,CHTR,424.03000
12308,2020-04-02,CHTR,435.66000
12308,2020-04-03,CHTR,433.79999
12308,2020-04-06,CHTR,459.54999
12308,2020-04-07,CHTR,451.75000
12308,2020-04-08,CHTR,463.92999
12308,2020-04-09,CHTR,466.64001
12308,2020-04-13,CHTR,469.70001
12308,2020-04-14,CHTR,489.57001
12308,2020-04-15,CHTR,496.32001
12308,2020-04-16,CHTR,496.35001
12308,2020-04-17,CHTR,499.42001
12308,2020-04-20,CHTR,498.67001
12308,2020-04-21,CHTR,490.78000
12308,2020-04-22,CHTR,496.07999
12308,2020-04-23,CHTR,499.12000
12308,2020-04-24,CHTR,508.54999
12308,2020-04-27,CHTR,508.44000
12308,2020-04-28,CHTR,497.16000
12308,2020-04-29,CHTR,494.67001
12308,2020-04-30,CHTR,495.23001
12308,2020-05-01,CHTR,509.64001
12308,2020-05-04,CHTR,515.72998
12308,2020-05-05,CHTR,513.44000
12308,2020-05-06,CHTR,503.95999
12308,2020-05-07,CHTR,514.25000
12308,2020-05-08,CHTR,515.28003
12308,2020-05-11,CHTR,510.73999
12308,2020-05-12,CHTR,501.92999
12308,2020-05-13,CHTR,498.29999
12308,2020-05-14,CHTR,497.44000
12308,2020-05-15,CHTR,503.39001
12308,2020-05-18,CHTR,517.78998
12308,2020-05-19,CHTR,520.44000
12308,2020-05-20,CHTR,512.79999
12308,2020-05-21,CHTR,516.96002
12308,2020-05-22,CHTR,512.90002
12308,2020-05-26,CHTR,509.85001
12308,2020-05-27,CHTR,525.10999
12308,2020-05-28,CHTR,534.66998
12308,2020-05-29,CHTR,544.00000
12308,2020-06-01,CHTR,541.29999
12308,2020-06-02,CHTR,545.21997
12308,2020-06-03,CHTR,547.29999
12308,2020-06-04,CHTR,540.03003
12308,2020-06-05,CHTR,530.71997
12308,2020-06-08,CHTR,540.35999
12308,2020-06-09,CHTR,531.57001
12308,2020-06-10,CHTR,533.81000
12308,2020-06-11,CHTR,517.16998
12308,2020-06-12,CHTR,522.57001
12308,2020-06-15,CHTR,526.02002
12308,2020-06-16,CHTR,532.45001
