PERMNO,date,TICKER,PRC
11891,2020-01-02,MGM,33.66000
11891,2020-01-03,MGM,33.29000
11891,2020-01-06,MGM,32.89000
11891,2020-01-07,MGM,32.91000
11891,2020-01-08,MGM,33.24000
11891,2020-01-09,MGM,33.44000
11891,2020-01-10,MGM,33.21000
11891,2020-01-13,MGM,33.37000
11891,2020-01-14,MGM,33.29000
11891,2020-01-15,MGM,33.09000
11891,2020-01-16,MGM,34.02000
11891,2020-01-17,MGM,34.54000
11891,2020-01-21,MGM,32.39000
11891,2020-01-22,MGM,31.95000
11891,2020-01-23,MGM,32.32000
11891,2020-01-24,MGM,31.57000
11891,2020-01-27,MGM,30.35000
11891,2020-01-28,MGM,30.97000
11891,2020-01-29,MGM,31.27000
11891,2020-01-30,MGM,31.30000
11891,2020-01-31,MGM,31.06000
11891,2020-02-03,MGM,31.21000
11891,2020-02-04,MGM,32.25000
11891,2020-02-05,MGM,32.37000
11891,2020-02-06,MGM,32.48000
11891,2020-02-07,MGM,31.36000
11891,2020-02-10,MGM,32.11000
11891,2020-02-11,MGM,32.71000
11891,2020-02-12,MGM,33.66000
11891,2020-02-13,MGM,31.80000
11891,2020-02-14,MGM,31.52000
11891,2020-02-18,MGM,32.02000
11891,2020-02-19,MGM,32.09000
11891,2020-02-20,MGM,32.34000
11891,2020-02-21,MGM,31.39000
11891,2020-02-24,MGM,29.70000
11891,2020-02-25,MGM,27.89000
11891,2020-02-26,MGM,26.71000
11891,2020-02-27,MGM,25.52000
11891,2020-02-28,MGM,24.56000
11891,2020-03-02,MGM,25.05000
11891,2020-03-03,MGM,23.30000
11891,2020-03-04,MGM,23.30000
11891,2020-03-05,MGM,20.60000
11891,2020-03-06,MGM,20.39000
11891,2020-03-09,MGM,17.88000
11891,2020-03-10,MGM,20.79000
11891,2020-03-11,MGM,18.08000
11891,2020-03-12,MGM,15.26000
11891,2020-03-13,MGM,15.44000
11891,2020-03-16,MGM,10.25000
11891,2020-03-17,MGM,9.55000
11891,2020-03-18,MGM,7.14000
11891,2020-03-19,MGM,7.70000
11891,2020-03-20,MGM,9.11000
11891,2020-03-23,MGM,9.15000
11891,2020-03-24,MGM,12.18000
11891,2020-03-25,MGM,12.95000
11891,2020-03-26,MGM,13.45000
11891,2020-03-27,MGM,12.19000
11891,2020-03-30,MGM,11.53000
11891,2020-03-31,MGM,11.80000
11891,2020-04-01,MGM,11.77000
11891,2020-04-02,MGM,11.51000
11891,2020-04-03,MGM,10.58000
11891,2020-04-06,MGM,12.91000
11891,2020-04-07,MGM,13.63000
11891,2020-04-08,MGM,15.00000
11891,2020-04-09,MGM,14.55000
11891,2020-04-13,MGM,13.91000
11891,2020-04-14,MGM,15.04000
11891,2020-04-15,MGM,14.42000
11891,2020-04-16,MGM,13.82000
11891,2020-04-17,MGM,14.08000
11891,2020-04-20,MGM,13.53000
11891,2020-04-21,MGM,13.19000
11891,2020-04-22,MGM,13.29000
11891,2020-04-23,MGM,13.78000
11891,2020-04-24,MGM,13.94000
11891,2020-04-27,MGM,15.23000
11891,2020-04-28,MGM,15.81000
11891,2020-04-29,MGM,17.46000
11891,2020-04-30,MGM,16.83000
11891,2020-05-01,MGM,15.01000
11891,2020-05-04,MGM,14.78000
11891,2020-05-05,MGM,14.27000
11891,2020-05-06,MGM,13.91000
11891,2020-05-07,MGM,14.93000
11891,2020-05-08,MGM,15.59000
11891,2020-05-11,MGM,14.65000
11891,2020-05-12,MGM,13.84000
11891,2020-05-13,MGM,12.68000
11891,2020-05-14,MGM,13.52000
11891,2020-05-15,MGM,13.85000
11891,2020-05-18,MGM,15.31000
11891,2020-05-19,MGM,15.16000
11891,2020-05-20,MGM,16.50000
11891,2020-05-21,MGM,15.99000
11891,2020-05-22,MGM,15.90000
11891,2020-05-26,MGM,17.65000
11891,2020-05-27,MGM,18.11000
11891,2020-05-28,MGM,17.23000
